Sl.No,District/Taluk/Hobli,Normal_mm,Actual_mm,Departure (%)
5,Sulibele,802.7,913.9,14
9,Nelamangala,954.3,885,-7
1,Nelamangala,954.3,800,-16
2,Sompura,794,960,21
3,Tyamagondal,877,866,-1
4,Nelamangala_2,890.7,801.9,-10
5,Sompura_2,826.7,931.8,13
6,Tyamagondal_2,869.7,899.8,3
3,RAMANAGARA,839.9,864.8,3
10,Channapatna,861.4,853.6,-1
1,Channapatna,861.4,955.1,11
2,Maluru,843.6,837.1,-1
3,Virupakshipura,843.6,797.3,-5
11,Kanakapura,796.6,815.7,2
1,Kanakapura,796.6,967.5,21
2,Kodihalli,802.3,912.2,14
3,Satnuru,798.5,663.8,-17
4,Uyyamballi,792.4,736.6,-7
12,Magadi,1000.1,984.2,-2
1,Magadi,1000.1,988,-1
2,Kuduru,841.1,1025.6,22
3,Madabal,968.3,971.4,0
4,Solur,881.1,950.4,8
5,Tippasanara,822.2,942.9,15
13,Ramanagara,921.3,862.8,-6
1,Ramanagara_1,921.3,804.2,-13
2,Bidadi,865.4,841,-3
3,Kailancha,867.4,895.5,3
4,Kutgallu,887.5,868.9,-2
5,Ramanagara_2,889.2,911.9,3
6,Kailancha_2,871.7,881.5,1
14,Harohalli,845.3,806.8,-5
1,Harohalli,845.3,814.9,-4
2,Dodda Maralavadi,828.4,803.3,-3
4,KOLAR,735.1,927,26
15,Bangarapet,764.3,852,11
1,Bangarapet,764.3,766.5,0
2,Budikote,687.1,848.6,24
3,Kamsandra,777.9,850.5,9
4,Robertsonpet,818.1,1002.9,23
16,Kolar,783.5,844.5,8
1,Kolar,783.5,715.5,-9
2,Holuru,744.6,935.8,26
3,Huttur,768.4,785.1,2
4,Narasapura,752.8,874.2,16
5,Sugaturu,763.2,1026.2,34
6,Vakkaleri,737.6,793.6,8
7,Rajakallahalli Vemagal,758.4,826.4,9
17,Malur,798.4,941.7,18
1,Malur,798.4,900.3,13
2,Lakkur,528.8,756.9,43
3,Masathi,632.6,1082.5,71
4,Tyakal,649.2,1029.5,59
18,Mulabagilu,803.8,1032.7,28
1,Mulbagal,803.8,1078.6,34
2,Avani,775.3,1047.5,35
3,Bairakur,734.2,1055.2,44
4,Duggasandra,752.5,898.4,19
5,Tayilur,708.1,1162.5,64
19,Srinivasapura,757.5,904.4,19
1,Srinivasapura,757.5,945.9,25
2,Nelavanki,664.1,917.2,38
3,Ronuru,710.9,954,34
4,Rayalpadu,639.4,924.8,45
5,Yelldur,710.2,770.4,8
20,K.G.F,889.7,1007.2,13
1,Betamangala,797,1016.8,28
2,Kyasamballi,784.5,1007.6,28
3,Robertsonpet,889.7,984.1,11
5,CHIKKABALLAPURA,735.7,768.7,4
21,Bagepalli,695,780.8,12
1,Bagepalli,695,910,31
2,Chelur,706.2,694.3,-2
3,Guluru,696,772.1,11
4,Mittemari,715,955.2,34
5,Pathapalya,701,673.4,-4
22,Chikkaballapura,828.4,769.8,-7
1,Chikballapura,828.4,826.1,0
2,Mandikal,722.9,721.6,0
3,Nandi,807.8,784.2,-3
23,Chintamani,786.9,807.5,3
1,Chintamani,786.9,810.6,3
2,Ambajidurga,768.1,810.2,5
3,Chilakalanerpu,722.3,752.7,4
4,Kaiwara,736.1,938.7,28
5,Munganahalli,730,796.4,9
6,Murugamale,748.7,809.4,8
24,Gauribidanur,703.9,689.2,-2
1,Gauribidanur,703.9,631.3,-10
2,D.Palya,713,502,-30
3,Hosur,709.4,687.4,-3
4,Manchenahalli,786.2,802.3,2
5,Nagaragere,695.3,608.1,-13
6,Tondebavi,758.3,927.8,22
25,Gudibanda,693.7,729.3,5
1,Gudibanda,693.7,639.7,-8
2,Somenahalli,727.7,829.3,14
26,Sidlaghatta,763.4,800.3,5
1,Sidlaghatta,763.4,729.7,-4
2,Bashattahalli,764.9,765.7,0
3,Jangamakote,775.9,906.8,17
4,Sadali,735,851.3,16
6,TUMAKURU,669,784.6,17
27,Chikkanayakanahalli,760.7,807.1,6
1,Chiknayakanahalli,760.7,835.8,10
2,Handanakere,594.6,896.1,51
3,Huliyaru,504.1,785.1,56
4,Kandikere,609.6,678.1,11
5,Shettikeri,700.1,868.9,24
28,Gubbi,809.4,891.2,10
1,Gubbi,809.4,886.3,10
2,Chandrashekerapura,691.9,805.7,16
3,Chelur,729.3,928.1,27
4,Hagalavadi,654.8,875.9,34
5,Kadaba,787.1,924.9,18
6,Nittur,789.2,871.1,10
29,Koratagere,777.3,786,1
1,Koratagere,777.3,837.1,8
2,Chennarayadurga,786.7,788.4,0
3,Holanahalli,767.8,746.5,-3
4,Kolala,720.3,809.1,12
30,Kunigal,824.9,891.9,8
1,Kunigal,824.9,892.9,8
2,Amrutur,675.4,895.3,33
3,Huliyurudurga,741.4,887.7,20
4,Huttariduraga,799.3,1044.9,31
5,Kottagere,752.4,787,5
6,Yedeyur,668.9,846.4,27
31,Madhugiri,730.3,644.9,-12
1,Madhugiri,730.3,681,-7
2,Dodderi,593.8,734.2,24
3,Itakadibbanahalli,615.6,641.4,4
4,Kodigenahalli,631.6,520.9,-18
5,Midigesi,553.4,669.1,21
6,Puravara,673.5,592.5,-12
32,Pavagada,611.4,617.2,1
1,Pavagada,611.4,613.5,0
2,Nagalamadike,587.6,587.8,0
3,Nidagal,518,667.3,29
4,Yellappanayakana Hosakote,532,610.4,15
33,Sira,637.7,700.7,10
1,Sira,637.7,657.2,3
2,Bukkaptna,578.6,749.2,29
3,Gowdagere,580.5,697.3,20
4,Hulikunta,505.8,698.9,38
5,Kallambella,606,697.6,15
34,Tiptur,730.7,909.8,25
1,Tiptur,730.7,847.9,16
2,Honnavalli,705.2,841.6,19
3,Kibbanahalli,607.3,1005.3,66
4,Nonavinakere,719.8,984.8,37
35,Tumakuru,830.4,845.2,2
1,Tumakuru North,830.4,807.5,-3
2,Bellavi,787.7,795.3,1
3,Guluru,869.1,893.6,3
4,Hebbur,678,842.2,24
5,Uradigere,682,894.2,31
6,Kora,788,810,3
7,Tumakuru East,843.8,803.6,-5
8,Tumakuru West,839.4,770.8,-8
9,Tumakuru South,846,798.9,-6
36,Turuvekere,772.1,928.3,20
1,Turuvekere,772.1,870.4,13
2,Dabbegatta,605.4,1051.2,74
3,Dandinasivara,707.2,901.6,27
4,Mayasandra,657,900.2,37
7,CHITRADURGA,540.1,514.5,-5
37,Challakere,484.5,486.6,0
1,Challakere,484.5,353.7,-27
2,Nayakanahatti,427.7,528.9,24
3,Parasurampura,410.3,517.8,26
4,Thalku,391.7,548,40
38,Chitradurga,665.5,522,-22
1,Chitradurga,665.5,398.3,-40
2,Bharmasagara,601.4,652.1,8
3,Hire Guntanur,576,622,8
4,Turuvanur,580.6,515.9,-11
39,Hiriyur,578.2,487.6,-16
1,Hiriyur,578.2,581.3,1
2,Aymangala,516.7,374,-28
3,Dharmapura,480.5,532.9,11
4,Javanagondanahalli,562,499.2,-11
40,Holalkere,722,514.9,-29
1,Holalkere,722,543.8,-25
2,Bharmanaikanadurga,647.7,503,-22
3,Ramagiri,535.1,562.9,5
4,Talya,650.3,459.6,-29
41,Hosadurga,647.7,642.9,-1
1,Hosadurga,647.7,629,-3
2,Madadhakeri,572.8,554.4,-3
3,Mathodu,580.2,711.1,23
4,Srirampura,564.3,708.6,26
42,Molakalmuru,545,417.2,-23
1,Molakalmuru,545,318.7,-42
2,Devasamudra,400.2,526.5,32
8,DAVANAGERE,659,727.3,10
43,Channagiri,840.1,826.7,-2
1,Channagiri,840.1,922,10
2,Basavapatna_1,703.4,827.9,18
3,Basavapatna_2,681.9,682.1,0
4,Santebannur_1,710.2,676,-5
5,Santebannur_2,741,752.8,2
6,Ubrani,751.6,865.9,15
44,Davanagere,641.3,697.5,9
1,Davangere,641.3,707.2,10
2,Anogodu,598.8,713,19
3,Mayakonda,638.9,663.7,4
45,Harihara,630.1,646.5,3
1,Harihara,630.1,655.5,4
2,Malebennur,586.3,633.9,8
46,Honnali,661.6,692,5
1,Honnali,661.6,648.7,-2
2,Govinakovi_2,667.2,694.1,4
3,Sasavehalli_1,719.3,745.3,4
4,Sasavehalli_2,640.3,705.4,10
47,Jagalur,527.7,733.2,39
1,Jagalur,527.7,765.9,45
2,Bilichodu,503.6,689.3,37
3,Sokke,574.4,725,26
48,Nyamati,825.7,658.9,-20
1,Belagutti,825.7,647.1,-22
2,Govinakovi_1,709.9,684.5,-4
9,CHAMARAJANAGARA,786.8,597.9,-24
49,Chamarajanagara,769.6,567.8,-26
1,Chamarajanagara,769.6,537.5,-30
2,Chandakavadi,792.8,557.3,-30
3,Haradanhalli,774.3,642,-17
4,Harve,751.8,474.1,-37
5,Santemarahalli,837.8,634.6,-24
50,Gundlupet,792,688.7,-13
1,Gundlupet,792,632.8,-20
2,Begur,648.2,664.1,2
3,Terakanambi,766.1,464.3,-39
4,Hangala,784.1,782.8,0
51,Kollegal,843.4,643.2,-24
1,Kollegala,843.4,633.8,-25
2,Palya,802.3,645.7,-20
52,Yelandur,867.3,541.7,-38
1,Yelandur,867.3,582.8,-33
2,Agara,770.8,516.1,-33
53,Hanur,753.7,564.7,-25
1,Hanur,753.7,566.6,-25
2,Lokkanahalli,781.3,591.1,-24
3,Ramapura,811,556.2,-31
10,MYSURU,837.3,802.9,-4
54,Heggadadevanakote,836.5,1070.4,28
1,Heggadadevanakote,836.5,1025.1,23
2,Antarasante,1031.4,1299.5,26
3,Hampapura,764.5,671,-12
55,Hunsur,799.3,710.9,-11
1,Hunsur,799.3,687.6,-14
2,Bilikere,764,734,-4
3,Gowdargyare,767.1,655.9,-14
4,Hanagoadu,976.2,725.5,-26
56,Krishnarajanagar,734.8,738.9,1
1,Krishnarajanagar,734.8,571.6,-22
2,Hebbalu,721.2,747.6,4
3,Hasa Agrahar,682.3,1002.7,47
57,Mysuru,809.9,696.8,-14
1,Mysuru,809.9,762.2,-6
2,Elivala,756.6,595.3,-21
3,Jayapura,774.1,724.3,-6
4,Varuna,738.4,686.3,-7
58,Nanjanagud,730.1,681.5,-7
1,Nanjangud,730.1,676.5,-7
2,Biligere,725.6,607.3,-16
3,Chikkayyana Chattra,732.4,700.1,-4
4,Hullahalli,788.2,743.7,-6
5,Doddakowlande,730.9,602,-18
59,Periyapatna,851.9,832.4,-2
1,Periyapatna,851.9,817.3,-4
2,Bettadpur,770.1,854.8,11
3,Haranahalli,956.9,996.4,4
4,Ravanduru,809.6,607.7,-25
60,T.NARASIPURA,738.2,757.3,3
1,T.Narasipur,738.2,680.6,-8
2,Bannur,721.3,791.7,10
3,Muguru,781.3,746.1,-5
4,Sosale,737.8,752.9,2
5,Talakad,776.8,777.4,0
61,Saraguru,949.5,892.6,-6
1,Saraguru,949.5,843.7,-11
2,B.Matakere,937.3,933.6,0
62,Saligrama,661.9,775.9,17
1,Saligram,661.9,724.9,10
2,Mirale,690.2,934.1,35
3,Chanachanakatte,698.2,683.5,-2
11,MANDYA,699,757.1,8
63,Krishnarajapet,747.3,814.8,9
1,Krishnarajapet,747.3,801.7,7
2,Akkihebalu,699.7,811.8,16
3,Bukanakere,700.2,787.7,12
4,Kikkeri,719.5,741,3
5,Santebachahalli,652.1,855.1,31
6,Silanare,697.6,898.8,29
64,Maddur,767,847.7,11
1,Madduru_2,767,820,7
2,Koppa_2,883.4,781.3,-12
3,Chikkaarasinakere_1,753,937.8,25
4,Autaguru,779.1,891.6,14
5,Madduru_1,757.8,784.6,4
6,Koppa_2,739.3,1010.2,37
7,Koppa_1,832.2,767.4,-8
8,Koppa_3,768.5,867.4,13
9,Chikaarasinakere_2,742.1,808.9,9
10,Chikaarasinakere_3,734.4,817.6,11
65,Malavalli,702.6,712.9,1
1,Malavalli_1,702.6,618.1,-12
2,Halaguru,799.3,695.1,-13
3,Kirgavalu_1,718.9,623.9,-13
4,B G Pura_2,778.1,753.4,-3
5,Malavalli_2,748.3,736.8,-2
6,Malavalli_3,772.4,665.4,-14
7,Kirgavalu_2,721.1,744.4,3
8,Kirgavalu_3,718.6,744.7,4
9,B G Pura_1,772.6,775.8,0
66,Mandya,699.4,704.7,1
1,Mandya_1,699.4,650,-7
2,Basaralu_1,609.5,713.1,17
3,Dudda_1,648.7,705.1,9
4,Keragodu_1,735,694.3,-6
5,Kottatti_1,697.2,760.8,9
6,Mandya_2,736.8,667.8,-9
7,Kottatti_2,709.2,687.1,-3
8,Keragodu_2,747.3,700.1,-6
9,Dudda_2,681.2,653.9,-4
10,Basaralu_2,796.4,793.2,0
67,Nagamangala,765.5,757.4,-1
1,Nagamangala,765.5,639.3,-16
2,Belluru,520,874.1,68
3,Bendaganavele,556.4,792.4,42
4,Devalapura,692.1,748.7,8
5,Honakere,465.3,738.7,59
68,Pandavapura,679.4,715.5,5
1,Pandavapura_1,679.4,672.2,-1
2,Chinkurali,684.4,814.9,19
3,Melukote,701.8,613.9,-13
4,Pandavapura_2,660.3,709.6,7
69,Srirangapatna,637.9,735.8,15
1,Srirangapatna,637.9,761.9,19
2,Arakere,700.7,792.2,13
3,Belagola,747.6,642.1,-14
4,K Shettihalli_2,650.4,708.9,9
5,K Shettihalli_1,642.7,704.6,10
12,BALLARI,599.4,528.9,-12
70,Ballari,516.2,435.4,-16
1,Ballari,516.2,416.6,-19
2,Moka,523.8,443.2,-15
3,Rupanagudi,504.6,542.4,7
4,Koluru,525.3,272,-48
71,Sandur,818.6,453.3,-45
1,Sandur,818.6,422.7,-48
2,Choranuru,626.8,359.3,-43
3,Toranagallu,611.6,605.4,-1
72,Siruguppa,675,669.2,-1
1,Siruguppa,675,723,7
2,Hachcholli,655.4,820.9,25
3,Karuru,563,569.5,1
4,Tekkalakote,629.9,642.9,2
73,Kurugodu,499.2,540.2,8
1,Kurugodu,499.2,600.7,20
2,Koluru,513.6,443.7,-14
74,Kampli,531.1,615.1,16
1,Kampli,531.1,672.3,27
2,Kurugodu,552.8,521.2,-6
13,KOPPALA,613.7,662.7,8
75,Gangavathi,583,703.3,21
1,Gangavathi,583,667.6,15
2,Marali,571.3,730.1,28
3,Venkatagiri,585.5,707.3,21
76,KOPPALA,635,606.5,-4
1,Koppal,635,640.2,1
2,Alawandi,586.7,586.7,0
3,Hitnal,640.1,756.8,18
4,Irkalgada,626.9,534.5,-15
77,Kushtagi,596.5,669.3,12
1,Kushtagi,596.5,763.6,28
2,Hanumanhal,658.3,516.2,-22
3,Hanamsagar,626.6,576.4,-8
4,Tavaragera,591.4,765.1,29
78,Yelburga,596.8,668.7,12
1,Yelburga,596.8,669.5,12
2,Hire Wankalkunti,594.6,665,12
79,Karatagi,639.8,657.6,3
1,Karatgi,639.8,672.4,5
2,Siddapur,592.7,641.6,8
80,Kukanuru,693.2,566.9,-18
1,Kukanoor,693.2,592.9,-14
2,Manglur,630.3,507.7,-19
81,Kanakagiri,525.2,904,72
1,Kanakagiri,525.2,802.8,53
2,Hulihaider,557.5,907.1,63
3,Nauli,594.8,1012.4,70
14,RAICHUR,654.3,801.1,22
82,Deodurga,758.8,819.4,8
1,Devadurga,758.8,904.1,19
2,Arakeri,658.3,730.3,11
3,Gabbur,682.5,913.8,34
4,Jalihalli,689.8,703.5,2
83,Lingsugur,630.8,819.9,30
1,Lingasuguru,630.8,834.2,32
2,Gurgunta,622.3,882.5,42
3,Mudgal,624,724.4,16
84,Manvi,651.7,801.1,23
1,Manvi,651.7,853.3,31
2,Hire Katankal,644,700.7,9
3,Kurdi,662.9,831.7,25
85,Raichur,735.6,758.4,3
1,Raichur,735.6,774.4,5
2,Chandrabanda,732.9,618.1,-16
3,Devarsugur,723.4,769,6
4,Gilasuguru,609.8,784.7,29
5,Kalmali,678.2,755.1,11
6,Yergara,762.8,829.5,9
86,Sindhanur,691.3,846.7,22
1,Sindhanur,691.3,893.8,29
2,Badarli,662.7,1006.3,52
3,Gorebal,648.7,645.6,0
4,Gunjihalli,634.2,589.5,-7
5,Hadganhal,654.6,868.9,33
6,Huda,649.8,642.8,-1
7,Jalihal,637.6,924.8,45
8,Jawalgeri,655.5,1017.3,55
9,Kunatgi,660.3,930.3,41
10,Salgundi,660.1,830.5,26
11,Turvihal,627,938.5,50
12,Walkamdinni,644.5,817.3,27
87,Maski,557.5,805.5,44
1,Maski,557.5,778.8,40
2,Halapur,585.7,906,55
3,Pamankallur,601.3,815.1,36
4,Balganur,597.5,968.5,62
5,Gunjihalli,609.1,654.6,7
6,Turvihal,603.1,710.7,18
7,Gudadur,572.6,750.6,31
8,Lingsugur,591.7,838.8,42
88,Sirivara,588.6,747,27
1,Sirwar,588.6,654.6,11
2,Kallur,671.3,758.4,13
3,Mallat,624.3,778.4,25
4,Kavital,622.1,801.3,29
15,KALABURAGI,770.3,1068,39
89,Afzalpur,692,1034.7,50
1,Afzalpur,692,1028.1,49
2,Atanur,707.1,1057.6,50
3,Karajgi,663.6,1017.4,53
90,Aland,762.9,1176.7,54
1,Aland,762.9,1223.4,60
2,Khajuri,756.6,1074.9,42
3,Madana Hipparga,735.1,1247.9,70
4,Narona,766.1,1092.2,43
5,Nimbarga Tanda,761.4,1207,59
91,Chincholi,912.7,897.4,-2
1,Chincholi,912.7,980.9,7
2,Ainapur,783.4,903.3,15
3,Sulepet,873.5,746.8,-15
4,Kodli Chincholi,896.4,983.3,10
92,CHITTAPUR,771.2,1185.4,54
1,Chittapur,771.2,1179.2,53
2,Gundgurti,776.5,1038.4,34
3,Nalavara,791.2,1249.2,58
93,Kalaburagi,793.7,1096.3,38
1,Kalaburagi,793.7,1206.6,52
2,Aurad,777.3,1121.3,44
3,Farhatabad,779.1,991.6,27
4,Pattan,772.4,1126.2,46
94,Jevargi,804.9,1045.9,30
1,Jewargi,804.9,1023.7,27
2,Andola,792.1,1168.9,48
3,Nelogi,752.8,947.3,26
95,Sedam,790.7,1104.3,40
1,Sedam,790.7,1097.4,39
2,Adki,806.9,1060.9,31
3,Kodla,799.4,1050.2,31
4,Mudhol,806.8,1212.2,50
96,Kalagi,765.5,961.8,26
1,Kalagi,765.5,1145.8,50
2,Kodli,774.2,690.2,-11
3,Gundgurti,772.7,1003.9,30
97,Kamalapura,762,1095.3,44
1,Kamalapur,762,1044.6,37
2,Mahagaon Tanda,772,1135,47
3,Narona,770.1,1258.3,63
4,Ainapur,779.6,692.2,-11
98,Yadrami,686.5,1029.5,50
1,Yadrami,686.5,1010.9,47
2,Ijeri,749.9,1060.8,41
99,Shahbadha,758.4,1071.4,41
1,Shahabad,758.4,1071.6,41
16,BIDAR,837.8,1011.4,21
100,Aurad,854.3,1151.8,35
1,Aurad,854.3,1283.6,50
2,Chintaki,872.5,1013.4,16
3,Santpur,874.3,1103.9,26
101,Bidar,939.4,922.2,-2
1,Bidar,939.4,751.2,-20
2,Bagadhal,842.8,963.2,14
3,Bidar South,934.7,822.7,-12
4,Janwada,908.9,1036.8,14
5,Kamthana,906.1,1070.3,18
6,Manalli,889.8,823.3,-7
102,Bhalki,873.6,1110.1,27
1,Bhalki,873.6,1118.6,28
2,Halburga,874.9,976.9,12
3,Khatak Chincholi,832.9,1048.3,26
4,Lakangaon,877.2,1154,32
5,Nittur Buzurg,873,1208.6,38
6,Saigaon,769.2,1150.3,50
103,Basavakalyan,790,1030,30
1,Basavakalyan,790,1179.2,49
2,Kohinoor,774.6,1084.3,40
3,Matala,786.6,821.5,4
4,Mudabi,778.7,1017,31
5,Rajeshwar,813,1067.6,31
104,Humnabad,833.7,970.2,16
1,Humnabad,833.7,1111.4,33
2,Dubalgundi,822.1,881.8,7
3,Hallikheda,826.7,863.5,4
105,Chittaguppa,759.5,600.9,-21
1,Chitguppa,759.5,736.9,-3
2,Bhimalkhed,838,454.1,-46
3,Nirna,794.1,558.6,-30
106,Kamalanagara,902.5,1234.1,37
1,Kamalnagar,902.5,1180.1,31
2,Dabaka C.,877.4,1277.8,46
3,Thanakushanur,873,1288.6,48
107,Hulasuru,739.4,826.6,12
1,Hulsoor,739.4,826.6,12
17,BELAGAVI,826.2,1038.3,26
108,Athani,539,713.9,32
1,Athani,539,647.3,20
2,Anantapur,516.9,750.6,45
3,Telsang,507.3,743.4,47
109,Bailhongal,816,857.2,5
1,Bailhongal,816,879.1,8
2,Nesargi,770.7,854.9,11
110,Belagavi,1363.1,1257.7,-8
1,Belagavi,1363.1,1308.2,-4
2,Hirebagevadi,1041.3,993.1,-5
3,Kakti,1130.5,1070.3,-5
4,Uchagaon,1340.9,1732,29
111,Chikkodi,666,730.6,10
1,Chikkodi,666,778.9,17
2,Nagaramonnali,634.1,718.4,13
3,Sadalgi,663.4,670.9,1
112,Gokak,524.1,672.1,28
1,Gokak,524.1,679.9,30
2,Kowjalgi,537,685.6,28
3,Arbhavi,560.4,643.8,15
113,Hukkeri,648.6,842.5,30
1,Hukkeri,648.6,724.1,12
2,Sankeswar,812.1,988,22
3,Yamkanmardi,685.2,841.3,23
114,Khanapur,1950.2,2505.6,28
1,Khanapur,1950.2,1501.2,-23
2,Bidi,1413.4,1329.8,-6
3,Gunji,2263.3,2676.9,18
4,Jamboti,1856.1,3632.7,96
115,Ramadurga,540.4,781.2,45
1,Ramdurg,540.4,849.2,57
2,Bidki,534,732.2,37
3,Katkol,535.6,808.7,51
4,Mudkavi,542.5,739.2,36
116,Raibagh,483.1,587.7,22
1,Raibagh,483.1,595.4,23
2,Kudchi,528.9,583.5,10
117,Soundatti,568,824.4,45
1,Savadatti,568,827.8,46
2,Manoli,562,785.4,40
3,Muragoda,607.1,868.6,43
118,Kitthuru,1035.5,1062,3
1,Kittur,1035.5,1085.8,5
119,Nippani,838.1,982.6,17
1,Nippani,838.1,1107.5,32
2,Sadalgi,766.8,845.1,10
120,Kagavada,540.7,705.8,31
1,Kagwad,540.7,710.6,31
121,Mudagali,533.5,598.5,12
1,Arbhavi,533.5,573.4,7
2,Kowjalgi,528.5,625,18
122,Yargatti,532.8,820.9,54
1,Yargatti,532.8,821.2,54
18,BAGALKOTE,582.4,725.2,25
123,Badami,599.5,844.1,41
1,Badami,599.5,826.6,38
2,Kerur,569.7,825.4,45
3,Kulgeri,582.5,883.8,52
124,Bagalkote,612.6,795.5,30
1,Bagalkote,612.6,828.7,35
2,Kaladgi,548.1,695.4,27
3,Rampura,611.7,830.7,36
125,Bilgi,609.4,703.9,16
1,Bilgi,609.4,741.2,22
2,Anagvadi,598.7,662.4,11
126,Hungund,669.5,853.5,27
1,Hungund,669.5,887.8,33
2,Amingarh,632.5,866.7,37
3,Karadi,652.1,780.2,20
127,Jamkhandi,548.3,543.9,-1
1,Jamakhandi,548.3,600.5,10
2,Savalagi,529.7,490.8,-7
3,Terdal,542.8,619.7,14
128,Mudhol,531.9,631.2,19
1,Mudhol,531.9,634.5,19
2,Lokapur,472.5,625.3,32
129,Guledagudda,606.8,781.8,29
1,Guledagudda,606.8,781.3,29
130,Ilkal,650.9,741.7,14
1,Ilkal,650.9,785.3,21
2,Amingarh,636.3,772.1,21
3,Karadi,653.6,572.8,-12
131,Rabakavi Banahatti,495.7,593.1,20
1,Terdal,495.7,597.1,20
2,Mudhol,549.7,578.5,5
19,VIJAYAPURA,591.2,870.8,47
132,BAGEVADI,668.5,799.8,20
1,Basavana Bagewadi,668.5,815.3,22
2,Huvin Hippargi,647.1,803.4,24
3,Managuli,608.2,781.8,29
133,Vijayapura,670.6,829.2,24
1,Vijayapura,670.6,852.4,27
2,Nagathan,392.3,795.7,103
134,Indi,620.2,946.6,53
1,Indi,620.2,959,55
2,Ballolli,563.4,938.3,67
135,Muddebihal,651.7,866.7,33
1,Muddebihal,651.7,833.9,28
2,Dhavalagi,637.9,864.5,36
3,Nalatvad,690.6,899.4,30
136,Sindgi,657.8,961.8,46
1,Sindhagi,657.8,961.6,46
137,Babaleshwara,544.6,629.3,16
1,Babaleshwar,544.6,637.9,17
2,Mamdapur,568.8,612,8
138,Chadachana,552.4,1061.3,92
1,Chadchan,552.4,1059.2,92
139,Nidagundi,616.4,811,32
1,Nidagundi,616.4,843.9,37
2,Basavana Bagewadi,630.8,779.5,24
3,Huvin Hipprgi,628.5,778.6,24
4,Muddebihal,614.6,741,21
5,Dhavalagi,624.3,673.3,8
140,Talikote,585.8,932.9,59
1,Talikoti,585.8,969.5,66
2,Devarhipargi,597.4,861.7,44
3,Dhavalagi,612.4,961,57
4,Huvinhippargi,602.7,766.9,27
141,Tikota,405.5,903.3,123
1,Tikota,405.5,903.6,123
142,Kolhara,605.6,873.9,44
1,Kolhar,605.6,874.2,44
143,Devara Hipparagi,630.3,810.4,29
1,Devar Hipparagi,630.3,812.8,29
2,Huvinhiprgi,625.3,799.4,28
144,Almel,646,865.4,34
1,Almel,646,866.1,34
20,GADAG,624,667.7,7
145,Gadag,658.8,684.3,4
1,Gadag,658.8,752.1,14
2,Betageri,655.1,630.6,-4
146,Mundargi,556.9,692.5,24
1,Mundargi,556.9,672.5,21
2,Dambal,461.7,704.7,53
